"['Chicago, Illinois']",[]
[],['City']
[],"[""Clockwise from top: Downtown, the Chicago Theatre, the 'L', Navy Pier, the Pritzker Pavilion, the Field Museum, and Willis Tower""]"
[],['FlagSeal']
[],"['Etymology: Miami-Illinois: shikaakwa (""wild onion"" or ""wild garlic"")Potawatomi: Gaa-zhigaagwanzhikaag']"
[],"['Nicknames:\xa0Windy City, Chi-Town, City of Big Shoulders,[1] Second City, My Kind of Town(for more, see full list)']"
[],"['Motto(s):\xa0Latin: Urbs in Horto (City in a Garden), I Will']"
[],['Interactive map outlining Chicago']
[],['ChicagoLocation within IllinoisShow map of IllinoisChicagoLocation within the United StatesShow map of the United StatesChicagoLocation within North AmericaShow map of North America']
[],['Coordinates: 41°50′13″N 87°41′05″W\ufeff / \ufeff41.83694°N 87.68472°W\ufeff / 41.83694; -87.68472Coordinates: 41°50′13″N 87°41′05″W\ufeff / \ufeff41.83694°N 87.68472°W\ufeff / 41.83694; -87.68472[2]']
['Country'],['United States']
['State'],['Illinois']
['Counties'],"['Cook, DuPage']"
['Settled'],['circa 1780']
['Incorporated (town)'],"['August 12, 1833']"
['Incorporated (city)'],"['March 4, 1837']"
['Founded by'],['Jean Baptiste Point du Sable']
['Named for'],['Miami-Illinois: shikaakwa(wild onion or wild garlic)']
['Government'],[]
['•\xa0Type'],['Mayor–council']
['•\xa0Body'],['Chicago City Council']
['•\xa0Mayor'],['Lori Lightfoot (D)']
['•\xa0City Clerk'],['Anna Valencia (D)']
['•\xa0City Treasurer'],['Melissa Conyears-Ervin (D)']
['Area[3]'],[]
['•\xa0City'],['234.14\xa0sq\xa0mi (606\xa0km2)']
['•\xa0Land'],['227.34\xa0sq\xa0mi (588\xa0km2)']
['•\xa0Water'],['6.80\xa0sq\xa0mi (17.62\xa0km2) \xa03.0%']
['•\xa0Urban'],"['2,122\xa0sq\xa0mi (5,496\xa0km2)']"
['•\xa0Metro'],"['10,874\xa0sq\xa0mi (28,160\xa0km2)']"
['Elevation[2] (mean)'],['594\xa0ft (181\xa0m)']
['Highest\xa0elevation– near Blue Island'],['672\xa0ft (205\xa0m)']
['Lowest\xa0elevation– at Lake Michigan'],['578\xa0ft (176\xa0m)']
['Population\xa0(2010)[6]'],[]
['•\xa0City'],"['2,695,598']"
['•\xa0Estimate\xa0(2017)'],"['2,716,450']"
['•\xa0Rank'],"['3rd, U.S.']"
['•\xa0Density'],"['11,898/sq\xa0mi (4,593.95/km2)']"
['•\xa0Urban'],"['8,667,303[5]']"
['•\xa0Metro'],"['9,533,040 (3rd)[4]']"
['•\xa0CSA'],"['9,901,711 (US: 3rd)[4]']"
['Demonym(s)'],['Chicagoan']
['Time zone'],['UTC−06:00 (Central)']
['•\xa0Summer (DST)'],['UTC−05:00 (Central)']
['ZIP Code Prefixes'],"['606xx, 607xx, 608xx']"
['Area codes'],['312/872 and 773/872']
['FIPS code'],['17-14000']
['GNIS feature ID'],['0428803']
['Major Airports'],"[""Chicago O'Hare, Chicago Midway""]"
['Commuter Rail'],['']
['Rapid transit'],['']
['Website'],['www.cityofchicago.org']
