"['Houston, Texas']",[]
[],['City']
[],['City of Houston']
[],"['Top to bottom, left to right: Sam Houston Monument, Rice University, University of Houston, Toyota Center, The Galleria, Broken Obelisk, Downtown Houston, George Bush Park, and the Houston Ship Channel']"
[],['FlagSeal']
[],['Nickname(s):\xa0Space City (official)    more ...']
[],['Location within and around Harris County']
[],['HoustonLocation within TexasShow map of TexasHoustonLocation within the United StatesShow map of the United StatesHoustonLocation within North AmericaShow map of North America']
[],['Coordinates: 29°45′46″N 95°22′59″W\ufeff / \ufeff29.76278°N 95.38306°W\ufeff / 29.76278; -95.38306Coordinates: 29°45′46″N 95°22′59″W\ufeff / \ufeff29.76278°N 95.38306°W\ufeff / 29.76278; -95.38306']
['Country'],['United States']
['State'],['Texas']
['Counties'],"['Harris, Fort\xa0Bend, Montgomery']"
['Incorporated'],"['June 5, 1837']"
['Named for'],['Sam Houston']
['Government'],[]
['•\xa0Type'],['Mayor–council']
['•\xa0Body'],['Houston City Council']
['•\xa0Mayor'],['Sylvester Turner (D)']
['Area'],[]
['•\xa0City'],"['637.4\xa0sq\xa0mi (1,623.92\xa0km2)']"
['•\xa0Land'],"['599.59\xa0sq\xa0mi (1,552.9\xa0km2)']"
['•\xa0Metro'],"['1,062\xa0sq\xa0mi (2,750\xa0km2)']"
['Elevation'],['80\xa0ft (32\xa0m)']
['Population\xa0(2010)[2]'],[]
['•\xa0City'],"['2,099,451']"
['•\xa0Estimate\xa0(2018)'],"['2,328,419']"
['•\xa0Rank'],['US: 4th']
['•\xa0Density'],"['3,660/sq\xa0mi (1,414/km2)']"
['•\xa0Urban'],"['4,944,332 (7th U.S.)']"
['•\xa0Metro'],"['6,997,384 (5th U.S.)']"
['•\xa0Demonym'],['Houstonian[1]']
['Time zone'],['UTC−6 (CST)']
['•\xa0Summer (DST)'],['UTC−5 (CDT)']
['ZIP Codes'],"['770xx, 772xx (P.O. Boxes)']"
['Area codes'],"['713, 281, 832, 346']"
['FIPS code'],['48-35000[4]']
['GNIS feature ID'],['1380948[5]']
['Major airports'],"['George Bush Intercontinental Airport (IAH), William P. Hobby Airport (HOU)']"
['Interstates'],['']
['U.S. routes'],['']
['Rapid transit'],['']
['Website'],['houstontx.gov']
